,Latitude,Longitude,RESapparent,Comments,data_set
0,56.043227,37.17041,341.5,Борщевик,hep_3-1
1,56.04323654230663,37.170419577463406,347.8,Борщевик,hep_3-1
2,56.04324608461251,37.17042915493155,377.6,Борщевик,hep_3-1
3,56.04325562691765,37.170438732404435,776.7,Борщевик,hep_3-1
4,56.043265169222046,37.17044830988206,445.9,Кромка леса,hep_3-1
5,56.04327471152571,37.170457887364414,1664.0,Кромка леса,hep_3-1
6,56.04328425382863,37.17046746485151,801.1,Лес,hep_3-1
7,56.04329379613079,37.17047704234335,841.2,Лес,hep_3-1
8,56.04330333843223,37.17048661983991,1788.0,Лес,hep_3-1
9,56.04331288073292,37.17049619734122,1722.0,Лес,hep_3-1
10,56.04332242303285,37.17050577484727,1716.0,Лес,hep_3-1
11,56.043331965332065,37.17051535235805,1883.0,Лес,hep_3-1
12,56.04334150763053,37.17052492987357,1911.0,Пень,hep_3-1
13,56.04335104992825,37.17053450739383,1744.0,Лес,hep_3-1
14,56.043360592225234,37.170544084918824,1750.0,Лес,hep_3-1
15,56.04337013452147,37.170553662448555,1863.0,Лес,hep_3-1
16,56.043379676816954,37.170563239983025,1424.0,Лес,hep_3-1
17,56.04338921911172,37.170572817522235,1129.0,Лес,hep_3-1
18,56.04339876140573,37.17058239506618,1353.0,Папоротник,hep_3-1
19,56.043408303699,37.17059197261486,1176.0,Лес,hep_3-1
20,56.04341784599154,37.17060155016828,1024.0,Поваленное дерево,hep_3-1
21,56.04342738828332,37.17061112772643,1124.0,Папоротник большой ,hep_3-1
22,56.04343693057437,37.17062070528933,1338.0,Лес,hep_3-1
23,56.043446472864666,37.170630282856955,363.4,Лес,hep_3-1
24,56.043456015154234,37.17063986042933,964.0,Лес,hep_3-1
25,56.04346555744304,37.170649438006436,1160.0,Лес,hep_3-1
26,56.043475099731126,37.17065901558828,1155.0,Лес,hep_3-1
27,56.04348464201846,37.17066859317486,1379.0,Лес,hep_3-1
28,56.043494184305054,37.17067817076617,1385.0,Лес,hep_3-1
29,56.043503726590906,37.17068774836223,1413.0,Лес,hep_3-1
30,56.043513268876026,37.170697325963026,1236.0,Лес,hep_3-1
31,56.0435228111604,37.17070690356855,1310.0,Лес,hep_3-1
32,56.043532353444014,37.17071648117883,963.5,Лес,hep_3-1
33,56.04354189572692,37.17072605879383,1195.0,Лес,hep_3-1
34,56.04355143800906,37.17073563641357,1532.0,Папоротник,hep_3-1
35,56.04356098029045,37.17074521403805,1830.0,Лес,hep_3-1
36,56.04357052257113,37.17075479166727,1498.0,Упавшее дерево,hep_3-1
37,56.04358006485105,37.170764369301224,1622.0,Лес,hep_3-1
38,56.04358960713021,37.17077394693992,1236.0,Лес,hep_3-1
39,56.04359914940867,37.17078352458334,1448.0,Лес,hep_3-1
40,56.043608691686366,37.17079310223151,1466.0,Лес,hep_3-1
41,56.0436182339633,37.17080267988442,1478.0,Лес,hep_3-1
42,56.04362777623951,37.17081225754206,1032.0,Лес,hep_3-1
43,56.043637318514975,37.170821835204436,1017.0,Лес,hep_3-1
44,56.04364686078971,37.17083141287156,1151.0,Начало разреза,hep_3-1
45,56.04365640306369,37.17084099054341,712.3,Разрез,hep_3-1
46,56.04366594533695,37.17085056822,1493.0,Разрез,hep_3-1
47,56.04367548760944,37.17086014590133,1445.0,Конец разреза,hep_3-1
48,56.0436850298812,37.170869723587394,1730.0,Лес,hep_3-1
49,56.043694572152226,37.1708793012782,1948.0,Лес,hep_3-1
50,56.043704114422496,37.17088887897374,1885.0,Лес,hep_3-1
51,56.043713656692034,37.17089845667402,1952.0,Лес,hep_3-1
52,56.04372319896084,37.17090803437903,1952.0,Лес,hep_3-1
53,56.04373274122887,37.170917612088786,1324.0,Лес,hep_3-1
54,56.04374228349619,37.17092718980328,1020.0,Лес,hep_3-1
55,56.04375182576274,37.17093676752251,1400.0,Лес,hep_3-1
56,56.04376136802858,37.17094634524648,1756.0,Лес,hep_3-1
57,56.04377091029366,37.17095592297518,1549.0,Лес,hep_3-1
58,56.043780452558,37.170965500708625,1792.0,Дерево сухое,hep_3-1
59,56.04378999482161,37.17097507844681,1067.0,Лес,hep_3-1
60,56.04379953708447,37.170984656189724,861.4,Лес,hep_3-1
61,56.04380907934658,37.17099423393738,1069.0,Лес,hep_3-1
62,56.04381862160796,37.171003811689765,911.7,Вывал,hep_3-1
63,56.04382816386859,37.17101338944689,920.1,Вывал,hep_3-1
64,56.04383770612848,37.17102296720876,1186.0,Вывал,hep_3-1
65,56.04384724838763,37.17103254497537,1528.0,Лес,hep_3-1
66,56.04385679064603,37.17104212274671,918.8,Лес,hep_3-1
67,56.04386633290371,37.17105170052279,1232.0,Лес,hep_3-1
68,56.04387587516064,37.171061278303604,1389.0,Лес,hep_3-1
69,56.043885417416824,37.17107085608916,1425.0,Лес,hep_3-1
70,56.04389495967226,37.17108043387945,1595.0,Лес,hep_3-1
71,56.04390450192696,37.17109001167448,1600.0,Лес,hep_3-1
72,56.04391404418091,37.17109958947425,954.8,Дерево ,hep_3-1
73,56.043923586434126,37.17110916727875,2123.0,Лес,hep_3-1
74,56.0439331286866,37.171118745087995,2032.0,Напротив могилы,hep_3-1
75,56.04394267093834,37.17112832290198,1491.0,Напротив могилы,hep_3-1
76,56.043952213189336,37.17113790072069,1497.0,Напротив могилы,hep_3-1
77,56.043961755439575,37.17114747854415,1542.0,Напротив могилы,hep_3-1
78,56.04397129768909,37.17115705637234,1690.0,Тонкое дерево,hep_3-1
79,56.04398083993785,37.17116663420527,1011.0,Лес,hep_3-1
80,56.04399038218587,37.17117621204294,1026.0,Лес,hep_3-1
81,56.04399992443315,37.17118578988534,745.2,Лес,hep_3-1
82,56.0440094666797,37.17119536773249,1140.0,Лес,hep_3-1
83,56.044019008925495,37.171204945584364,911.1,Лес,hep_3-1
84,56.04402855117055,37.17121452344098,761.2,Большая береза,hep_3-1
85,56.044039,37.171225,708.3,Склон,hep_3-1
